style_code,product_name,category_code,material_code,finish,price_usd,image_filename,description
HB001,Luna Crescent Necklace,CAT001,MAT001,Polished,85.00,HB001.jpg,Delicate sterling silver crescent moon necklace handcrafted for everyday celestial elegance
HB002,Aurora Ring,CAT002,MAT002,Polished,95.00,HB002.jpg,Gold vermeil ring featuring a graceful wave silhouette inspired by northern lights
HB003,Forest Bracelet,CAT003,MAT003,Oxidized,65.00,HB003.jpg,Brass bracelet with hand-stamped leaf motifs evoking a walk through ancient woodland
HB004,Celestial Pendant,CAT004,MAT006,Polished,110.00,HB004.jpg,Moonstone pendant set in sterling silver capturing ethereal light with every movement
HB005,Terra Earrings,CAT005,MAT004,Hammered,72.00,HB005.jpg,Hammered bronze drop earrings with organic texture inspired by ancient earth elements
HB006,Soleil Anklet,CAT006,MAT001,Polished,55.00,HB006.jpg,Dainty sterling silver anklet with tiny sun charms for effortless beachside elegance
HB007,Bloom Brooch,CAT007,MAT002,Polished,130.00,HB007.jpg,Gold vermeil brooch shaped as a blooming flower with hand-set petal details
HB008,Harmony Jewelry Set,CAT008,MAT001,Brushed,210.00,HB008.jpg,Brushed sterling silver set including necklace earrings and bracelet in unified floral design
HB009,Ocean Pendant,CAT004,MAT009,Matte,98.00,HB009.jpg,Turquoise pendant framed in oxidized brass evoking calm open ocean horizons
HB010,Golden Horizon Necklace,CAT001,MAT002,Polished,145.00,HB010.jpg,Layered gold vermeil necklace with geometric bar links inspired by warm sunset horizons
HB011,Midnight Onyx Ring,CAT002,MAT012,Polished,105.00,HB011.jpg,Bold sterling silver ring featuring a smooth oval onyx stone for confident elegance
HB012,Ember Garnet Bracelet,CAT003,MAT010,Polished,120.00,HB012.jpg,Sterling silver bracelet with hand-set garnet stones radiating warmth and timeless beauty
HB013,Mist Labradorite Earrings,CAT005,MAT008,Matte,115.00,HB013.jpg,Labradorite drop earrings in brushed silver capturing shifting iridescent spectral light
HB014,Violet Amethyst Pendant,CAT004,MAT011,Polished,125.00,HB014.jpg,Faceted amethyst pendant set in sterling silver radiating calm violet elegance
HB015,Pearl Serenity Necklace,CAT001,MAT005,Polished,160.00,HB015.jpg,Hand-knotted freshwater pearl necklace finished with a sterling silver lobster clasp
HB016,Quartz Clarity Ring,CAT002,MAT007,Polished,88.00,HB016.jpg,Clear quartz cabochon ring in sterling silver symbolizing clarity focus and inner light
HB017,Sahara Cuff Bracelet,CAT003,MAT003,Hammered,78.00,HB017.jpg,Wide hammered brass cuff bracelet with hand-etched geometric desert-inspired patterns
HB018,Moonrise Anklet,CAT006,MAT002,Polished,68.00,HB018.jpg,Gold vermeil anklet with delicate moonstone bead accents for refined bohemian style
HB019,Twilight Brooch,CAT007,MAT001,Oxidized,140.00,HB019.jpg,Oxidized sterling silver brooch shaped as a crescent with hand-set moonstone center
HB020,Celestial Dusk Jewelry Set,CAT008,MAT002,Polished,245.00,HB020.jpg,Gold vermeil jewelry set featuring matching earrings necklace and ring with star motifs
